Time,CLK_Out_w3
0.0,"['1.0000', 'NS']"
0.5,"['0.1888', 'NS']"
1.0,"['0.6443', 'NS']"
1.5,"['0.4181', 'NS']"
2.0,"['0.7513', 'NS']"
2.5,"['0.3418', 'NS']"
3.0,"['0.0980', 'NS']"
3.5,"['0.1927', 'NS']"
4.0,"['0.3418', 'NS']"
4.5,"['0.5974', 'NS']"
5.0,"['0.3598', 'NS']"
5.5,"['0.1927', 'NS']"
6.0,"['0.3418', 'NS']"
6.5,"['0.9159', 'NS']"
7.0,"['0.6985', 'NS']"
7.5,"['0.1927', 'NS']"
8.0,"['1.0000', 'NS']"
8.5,"['0.3787', 'NS']"
9.0,"['0.2453', 'NS']"
9.5,"['0.6726', 'NS']"
10.0,"['0.0725', 'NS']"
