Time,Glaz_V106955_w7
0.0,"['1.0000', 'NS']"
0.5,"['0.2230', 'NS']"
1.0,"['0.0169', '*']"
1.5,"['0.0169', '*']"
2.0,"['0.0055', '**']"
2.5,"['0.0067', '**']"
3.0,"['0.0075', '**']"
3.5,"['0.0075', '**']"
4.0,"['0.0080', '**']"
4.5,"['0.0043', '**']"
5.0,"['0.0043', '**']"
5.5,"['0.0043', '**']"
6.0,"['0.0303', '*']"
6.5,"['0.0173', '*']"
7.0,"['0.0823', 'NS']"
7.5,"['0.2468', 'NS']"
8.0,"['0.5368', 'NS']"
8.5,"['0.5368', 'NS']"
9.0,"['0.5368', 'NS']"
9.5,"['0.7922', 'NS']"
10.0,"['0.7922', 'NS']"
